Date : 2026-05-22 15:17:56
Directory : /home/jowens/Projects/ns2
Total : 125 files,  10498 codes, 2223 comments, 2406 blanks, all 15127 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         52 |      4,070 |      1,508 |      1,390 |      6,968 |
| Go               |         27 |      2,299 |        560 |        774 |      3,633 |
| toml             |          2 |      1,758 |          0 |         85 |      1,843 |
| XML              |          6 |      1,715 |          1 |          4 |      1,720 |
| Properties       |         10 |        365 |        143 |        111 |        619 |
| Go Checksum File |          1 |        115 |          0 |          1 |        116 |
| JSON             |         14 |         56 |          0 |          0 |         56 |
| Go Module File   |          1 |         48 |          0 |          5 |         53 |
| Makefile         |          2 |         34 |          4 |         14 |         52 |
| Shell Script     |          7 |         21 |          7 |         19 |         47 |
| HTML             |          1 |         16 |          0 |          1 |         17 |
| Log              |          1 |          1 |          0 |          1 |          2 |
| Markdown         |          1 |          0 |          0 |          1 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        125 |     10,498 |      2,223 |      2,406 |     15,127 |
| . (Files)                                                                                 |          6 |      1,793 |          9 |        104 |      1,906 |
| .nicegui                                                                                  |         12 |         12 |          0 |          0 |         12 |
| configs                                                                                   |          8 |        739 |         86 |        146 |        971 |
| debian                                                                                    |          1 |          1 |          0 |          1 |          2 |
| reference                                                                                 |         13 |      1,803 |         95 |         73 |      1,971 |
| src                                                                                       |         85 |      6,150 |      2,033 |      2,082 |     10,265 |
| src/ns2                                                                                   |         85 |      6,150 |      2,033 |      2,082 |     10,265 |
| src/ns2 (Files)                                                                           |          4 |         43 |          1 |         23 |         67 |
| src/ns2/api                                                                               |          6 |        124 |         56 |         69 |        249 |
| src/ns2/assets                                                                            |          1 |        103 |          1 |          2 |        106 |
| src/ns2/backend                                                                           |         32 |      1,977 |        524 |        690 |      3,191 |
| src/ns2/backend (Files)                                                                   |          2 |        163 |          0 |          6 |        169 |
| src/ns2/backend/ns                                                                        |         30 |      1,814 |        524 |        684 |      3,022 |
| src/ns2/backend/ns (Files)                                                                |          4 |         16 |         53 |         15 |         84 |
| src/ns2/backend/ns/cmd                                                                    |          6 |        161 |         77 |         72 |        310 |
| src/ns2/backend/ns/internal                                                               |          4 |        184 |         32 |         56 |        272 |
| src/ns2/backend/ns/internal/account                                                       |          1 |         48 |         24 |         13 |         85 |
| src/ns2/backend/ns/internal/bridge                                                        |          1 |         28 |          1 |         13 |         42 |
| src/ns2/backend/ns/internal/dbus                                                          |          1 |         76 |          4 |         20 |        100 |
| src/ns2/backend/ns/internal/snmp                                                          |          1 |         32 |          3 |         10 |         45 |
| src/ns2/backend/ns/lib                                                                    |         16 |      1,453 |        362 |        541 |      2,356 |
| src/ns2/cli                                                                               |          3 |         40 |         10 |         26 |         76 |
| src/ns2/lib                                                                               |         13 |      2,080 |        324 |        711 |      3,115 |
| src/ns2/tests                                                                             |         10 |        456 |         62 |        200 |        718 |
| src/ns2/ui                                                                                |         16 |      1,327 |      1,055 |        361 |      2,743 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/jowens/Projects/ns2/.nicegui/storage-general.json                                   | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-02dabf4c-21f0-4e75-ad67-b3d7652a182a.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-061b6597-dbfa-4983-abcc-2a330ee65ff2.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-09977514-ef20-40e7-8866-c03f8481150c.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-39dda508-d4c0-4168-815e-b0568f6fbf25.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-783cd550-77bc-4fc0-8aef-04378de28895.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-7e0a265d-052b-45ac-bbd0-ed8e5720f3af.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-a4a64473-23d3-4ceb-874a-8c9a428cec0f.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-b25fa7ba-a08e-481d-9fc9-9afeb504055b.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-c6724266-a971-4913-aa46-2528b323eb5b.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-eb3cd2f9-8fd0-4b9f-8b1a-66d594c874ae.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/.nicegui/storage-user-efdd0f41-1583-4140-b8ce-78a401aa8964.json | JSON             |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/Makefile                                                        | Makefile         |         29 |          4 |         12 |         45 |
| /home/jowens/Projects/ns2/README.md                                                       | Markdown         |          0 |          0 |          1 |          1 |
| /home/jowens/Projects/ns2/build.sh                                                        | Shell Script     |          2 |          2 |          5 |          9 |
| /home/jowens/Projects/ns2/configs/com.novus.ns.conf                                       | Properties       |         28 |          0 |          6 |         34 |
| /home/jowens/Projects/ns2/configs/nginx.conf                                              | Properties       |         94 |         15 |         21 |        130 |
| /home/jowens/Projects/ns2/configs/ns-admin-rp.conf                                        | Properties       |         36 |          2 |          6 |         44 |
| /home/jowens/Projects/ns2/configs/ns2-ui.conf                                             | Properties       |         36 |          2 |          6 |         44 |
| /home/jowens/Projects/ns2/configs/ns2.xml                                                 | XML              |          6 |          0 |          0 |          6 |
| /home/jowens/Projects/ns2/configs/ns_admin.xml                                            | XML              |          6 |          0 |          0 |          6 |
| /home/jowens/Projects/ns2/configs/ntl.go                                                  | Go               |        514 |         36 |         95 |        645 |
| /home/jowens/Projects/ns2/configs/snmpd.conf                                              | Properties       |         19 |         31 |         12 |         62 |
| /home/jowens/Projects/ns2/debian/ns-admin.debhelper.log                                   | Log              |          1 |          0 |          1 |          2 |
| /home/jowens/Projects/ns2/makegroups.sh                                                   | Shell Script     |          4 |          3 |          1 |          8 |
| /home/jowens/Projects/ns2/pyproject.toml                                                  | toml             |         24 |          0 |          5 |         29 |
| /home/jowens/Projects/ns2/reference/build.sh                                              | Shell Script     |          1 |          0 |          0 |          1 |
| /home/jowens/Projects/ns2/reference/com.novus.ns.conf                                     | Properties       |         28 |          0 |          6 |         34 |
| /home/jowens/Projects/ns2/reference/dev_deploy.sh                                         | Shell Script     |          6 |          2 |          7 |         15 |
| /home/jowens/Projects/ns2/reference/index.html                                            | HTML             |         16 |          0 |          1 |         17 |
| /home/jowens/Projects/ns2/reference/init_settings.json                                    | JSON             |         24 |          0 |          0 |         24 |
